date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:43	112537/112537	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:32%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/3.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/3.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:50	385137/385137	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:43:29%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/dish/6.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/dish/6.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:52	134022/134022	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:34%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/4.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/4.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:16:54	132103/132103	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:43%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/5.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/5.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:17:09	118434/118434	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:48%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/7.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/7.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:17:10	92768/92768	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:45:20%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/video/glorias-fajitas.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/video/glorias-fajitas.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:17:17	211241/211241	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:43%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/6.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/6.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:17:23	36056/36056	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:43:21%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/menu/1.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/menu/1.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:17:31	45322/45322	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:43:26%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/menu/2.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/menu/2.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
16:17:37	280918/280918	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202015%2005:44:59%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/special/8.jpg	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/special/8.jpg	(from http://www.xpertpoin8.com/demo/restaurant/)
